lengths,num_speaker,views
7,1,22270883
4,1,21190883
6,1,20685401
4,1,17629275
7,1,14745406
5,1,14689301
2,1,13926113
2,1,13327101
4,1,13155478
6,1,12005869
4,1,11443190
4,1,10841210
6,1,10529854
6,1,10167161
4,2,9753630
5,1,9551344
4,1,9315931
6,1,9315483
6,1,9260764
3,1,9006600
7,1,8958850
6,1,8838874
3,1,8655723
4,1,8360707
10,1,8218896
5,1,7638978
10,1,7520736
8,1,7481004
6,1,7373875
4,1,7271730
5,1,7266316
5,1,7023562
6,1,7015800
7,1,6803938
8,1,6636475
6,1,6484404
5,1,6475731
9,1,6406853
5,1,6263759
8,1,6214152
2,1,6141440
4,1,5842377
6,1,5666038
7,1,5570544
6,1,5483940
5,1,5364639
8,1,5316753
5,1,5199008
6,1,4962607
6,1,4891781
4,1,4883112
6,1,4843480
12,1,4801456
8,1,4790701
6,1,4782854
6,1,4754217
5,1,4653286
6,1,4642478
12,1,4619628
9,1,4614317
6,1,4609857
12,1,4597270
6,1,4573252
6,1,4564213
9,1,4538435
8,1,4531020
6,1,4389731
7,1,4375111
2,1,4374792
9,1,4364865
3,1,4329332
4,1,4289903
9,1,4259204
8,1,4235594
5,1,4234334
6,1,4233352
6,1,4204848
8,1,4191678
6,1,4190393
4,1,4165572
6,1,4149065
5,1,4119616
3,1,4066376
7,1,4060628
5,1,4058274
7,1,4040280
4,1,4039403
5,1,4016531
7,1,3982352
3,1,3976339
6,1,3930186
6,1,3917039
6,1,3841631
7,1,3811316
7,1,3791888
6,1,3773245
4,1,3769987
3,1,3741423
4,1,3729820
4,,3729820
5,1,3661633
5,,3661633
8,,3643938
3,,3519656
5,,3472415
11,,3460338
6,,3450119
5,,3433437
6,,3421371
6,,3399887
4,,3387765
5,,3362099
5,,3351267
6,,3327164
5,,3325490
4,,3303825
5,,3257749
7,,3247638
4,,3243784
4,,3200520
7,,3192405
10,,3183828
6,,3158067
7,,3148366
5,,3133189
13,,3130752
4,,3095993
5,,3095075
2,,3074172
6,,3062980
4,,3061003
4,,3055565
4,,3051507
7,,3005687
9,,2991225
5,,2954577
5,,2950307
6,,2895821
5,,2890269
5,,2863214
7,,2841795
10,,2832581
7,,2824676
6,,2797058
5,,2785058
4,,2783715
3,,2782822
11,,2780484
6,,2735769
4,,2725557
7,,2724208
9,,2715019
6,,2702500
6,,2702470
8,,2679881
4,,2676717
6,,2664733
4,,2634359
3,,2627709
10,,2626483
6,,2618738
4,,2613400
4,,2611707
4,,2598055
7,,2567958
8,,2560359
5,,2558702
4,,2532851
8,,2527133
5,,2526255
8,,2520181
6,,2500023
7,,2498698
4,,2477746
5,,2475423
7,,2471075
4,,2467385
5,,2449740
6,,2442996
3,,2442977
5,,2434344
5,,2428958
4,,2399273
8,,2398373
4,,2373021
4,,2350678
9,,2306549
11,,2305547
6,,2300106
8,,2299265
4,,2293465
4,,2293317
4,,2290464
4,,2283491
8,,2275945
6,,2239259
7,,2233265
8,,2224913
5,,2212944
8,,2206061
5,,2200326
5,,2197377
3,,2192828
6,,2190919
4,,2190746
7,,2178952
7,,2178534
4,,2175141
7,,2173228
5,,2162764
5,,2162439
6,,2161846
3,,2155416
9,,2155099
7,,2138907
3,,2124521
5,,2120292
5,,2108816
6,,2102608
4,,2098639
3,,2067955
6,,2064604
5,,2063367
5,,2062308
6,,2053453
4,,2049904
6,,2049103
7,,2042978
6,,2028451
4,,2028383
3,,2026001
7,,2025005
5,,2019969
9,,2014461
5,,2012387
7,,2006050
8,,2005189
5,,2004519
8,,2004123
3,,1995401
4,,1985679
7,,1981978
8,,1974007
5,,1971157
10,,1954438
9,,1947342
7,,1939539
5,,1935213
6,,1934877
11,,1929261
6,,1920434
8,,1908266
6,,1905680
8,,1901605
4,,1895259
8,,1890978
5,,1890066
6,,1888717
5,,1885751
6,,1877673
7,,1866264
7,,1858990
3,,1854024
11,,1839891
5,,1838628
4,,1836382
7,,1836233
7,,1836106
3,,1832930
6,,1803069
8,,1801117
6,,1800490
7,,1788182
7,,1785193
3,,1783740
9,,1781721
7,,1780746
5,,1778606
4,,1776779
8,,1773697
8,,1772635
7,,1765153
3,,1762302
6,,1762082
9,,1752014
6,,1751426
4,,1751030
7,,1738331
6,,1736329
5,,1730653
8,,1723874
8,,1721411
3,,1720579
5,,1714168
6,,1712075
6,,1710873
6,,1705702
12,,1703367
13,,1701743
3,,1697550
6,,1697185
5,,1692225
6,,1687185
6,,1683456
5,,1683410
6,,1678493
11,,1674355
4,,1666552
5,,1663001
5,,1654299
9,,1648677
7,,1641675
4,,1636425
2,,1636292
5,,1628912
8,,1626686
4,,1624716
6,,1624605
5,,1624428
7,,1624248
7,,1618434
6,,1617977
4,,1609555
5,,1608679
8,,1607427
5,,1607397
8,,1605113
5,,1604402
6,,1600522
2,,1596067
5,,1594241
11,,1591696
9,,1588740
4,,1587823
9,,1587546
4,,1586547
4,,1580239
11,,1576773
7,,1575699
10,,1575381
7,,1567528
8,,1566854
10,,1566602
7,,1565486
8,,1546610
8,,1543588
6,,1542898
4,,1539504
2,,1538107
3,,1536873
7,,1533054
10,,1532875
4,,1532675
11,,1531675
12,,1531606
6,,1530711
13,,1528815
7,,1526242
5,,1522858
4,,1520908
5,,1520108
6,,1514014
6,,1512972
6,,1507409
5,,1507048
10,,1506064
10,,1503016
9,,1498103
6,,1493866
9,,1492275
7,,1491698
5,,1486880
8,,1485761
4,,1485196
5,,1479503
5,,1479352
5,,1476377
12,,1475823
6,,1474192
5,,1469884
7,,1467971
7,,1464877
7,,1460352
7,,1454663
4,,1451846
5,,1451649
9,,1443340
3,,1442990
7,,1439616
8,,1439341
10,,1437353
10,,1437261
5,,1427723
10,,1426970
4,,1426390
5,,1426132
7,,1422767
6,,1421509
10,,1419325
11,,1419314
6,,1415724
5,,1410164
9,,1405909
4,,1404984
4,,1399811
9,,1398751
9,,1397126
6,,1396369
5,,1396197
6,,1394503
6,,1394203
6,,1391142
9,,1386424
6,,1384333
3,,1383079
11,,1378298
8,,1373382
6,,1371482
6,,1370710
11,,1370547
8,,1365646
4,,1363726
9,,1363680
11,,1360404
4,,1359400
6,,1357888
8,,1354522
3,,1352069
6,,1351691
7,,1349028
12,,1346060
9,,1342356
9,,1341106
7,,1335732
6,,1332785
6,,1324929
3,,1314201
7,,1306390
11,,1304737
3,,1304597
7,,1301734
6,,1297943
10,,1294952
7,,1294171
7,,1292110
12,,1287111
8,,1281570
5,,1281099
5,,1280829
6,,1277619
12,,1276015
7,,1272198
10,,1266485
11,,1265177
10,,1264166
4,,1263442
7,,1262674
7,,1259603
2,,1258574
12,,1257079
8,,1256969
10,,1252289
7,,1248458
9,,1244502
8,,1243930
5,,1237391
7,,1231423
5,,1231159
9,,1229640
8,,1227480
8,,1226441
3,,1225960
9,,1225763
6,,1225718
8,,1224191
8,,1224127
8,,1223720
7,,1222800
6,,1222519
8,,1219295
4,,1218882
4,,1217412
3,,1215947
5,,1215662
6,,1215549
8,,1212774
4,,1212346
6,,1212079
8,,1211416
5,,1209663
6,,1207550
5,,1205867
6,,1203056
8,,1200139
9,,1194762
7,,1191591
8,,1191342
7,,1190085
6,,1189513
4,,1183303
8,,1183075
4,,1181696
4,,1174189
10,,1173235
8,,1168080
8,,1165313
7,,1164777
7,,1164684
6,,1163387
5,,1162011
12,,1160841
6,,1160672
10,,1159426
8,,1158707
8,,1157388
6,,1150409
4,,1149257
7,,1149090
3,,1145700
12,,1143028
5,,1140425
10,,1139827
5,,1139732
6,,1139068
5,,1138566
5,,1136037
5,,1134737
6,,1132964
8,,1132913
3,,1132752
5,,1131864
11,,1131041
8,,1129577
2,,1128896
8,,1128212
5,,1119772
7,,1118006
5,,1115081
4,,1112914
7,,1111146
3,,1110781
5,,1109822
5,,1107307
3,,1104345
7,,1101811
3,,1097511
8,,1096198
6,,1095806
8,,1091988
7,,1090180
8,,1089949
9,,1088768
4,,1085152
6,,1085138
5,,1084634
6,,1083424
7,,1082869
7,,1080869
7,,1079698
5,,1076279
5,,1074081
7,,1072727
10,,1070238
3,,1069653
4,,1065681
6,,1061964
6,,1061687
10,,1060918
6,,1057238
4,,1056435
4,,1055904
4,,1055886
4,,1055562
6,,1054600
4,,1054590
5,,1054415
8,,1051614
9,,1051530
14,,1051196
4,,1049727
10,,1049652
7,,1048304
5,,1045631
7,,1044185
6,,1044038
8,,1038727
7,,1034518
6,,1034064
6,,1034009
5,,1032549
7,,1032390
8,,1031398
6,,1030267
10,,1028548
10,,1028312
9,,1025698
10,,1024661
6,,1022457
5,,1022333
8,,1022042
5,,1021180
3,,1014201
7,,1013879
6,,1013266
4,,1013063
7,,1009069
6,,1008394
10,,1005506
3,,1005088
7,,1004893
4,,1000194
5,,996736
5,,996694
6,,993232
8,,992773
6,,991694
5,,991359
3,,990220
14,,990084
7,,987388
7,,984223
7,,983929
6,,981351
4,,979094
3,,978825
5,,976473
5,,975115
7,,975107
4,,974087
8,,973376
8,,971212
6,,967741
3,,967704
6,,967667
8,,966439
12,,961423
13,,961158
11,,959460
6,,959404
6,,959382
7,,956539
8,,955827
3,,953825
6,,948840
6,,948459
6,,946815
5,,944836
4,,943565
5,,942604
6,,940913
4,,940703
5,,938456
4,,933319
8,,933311
8,,931677
5,,931567
5,,931001
3,,930647
10,,929167
5,,929077
6,,928270
6,,925733
13,,923916
6,,923663
7,,922923
7,,922158
6,,920941
4,,914212
6,,914011
7,,911601
4,,909508
4,,909309
6,,908923
10,,907844
6,,907147
6,,907047
4,,906262
