main_speaker,num_speaker,speaker_occupation
 OK Go,1,Band
 Rodrigo y Gabriela,1,Guitar duo
 Silk Road Ensemble,1,Musical explorers
Aaron Koblin,1,Data artist
Aaron O'Connell,1,Physicist
Abe Davis,1,Computer scientist
Abigail Washburn,1,Clawhammer banjo player
Adam Alter,1,Psychologist
Adam Foss,1,Juvenile justice reformer
Adam Grant,1,Organizational psychologist
Adam Grosser,1,Venture capitalist
Adam Savage,1,"Maker, critical thinker"
Adam Spencer,1,Science communicator
Adora Svitak,1,Child prodigy
Aimee Mullins,1,Athlete and actor
Aimee Mullins,1,Athlete and actor
Ajit Narayanan,1,Visual grammar engine inventor
Al Gore,1,Climate advocate
Al Gore,1,Climate advocate
Al Gore,1,Climate advocate
Al Gore,1,Climate advocate
Al Seckel,1,Master of visual illusions
Al Vernacchio,1,Sexuality educator
Alan Eustace,1,Stratospheric explorer
Alan Kay,1,Educator and computing pioneer
Alan Russell,1,Medical futurist
Alan Siegel,1,"Executive, simplicity guru"
Alastair Parvin,1,Designer
Alec Soth + Stacey Baker,2,Photo editor
Alex Kipman,1,Inventor
Alex Laskey,1,Energy software maker
Alex Tabarrok,1,Economist
Alexander Betts,1,Social scientist
Alice Goffman,1,Urban sociologist
Alice Rawsthorn,1,Design critic
Alisa Miller,1,"CEO, Public Radio International (PRI)"
Allan Adams,1,Theoretical physicist
Allan Adams,1,Theoretical physicist
Allan Savory,1,Grassland ecosystem pioneer
Allison Hunt,1,Marketing expert
Amanda Burden,1,Urban planner
Amanda Palmer,1,"Musician, blogger"
"Amanda Palmer, Jherek Bischoff, Usman Riaz",3,"Musician, blogger"
Ameera Harouda,1,Fixer
Amit Sood,1,Technologist
Amit Sood,1,Technologist
Amory Lovins,1,"Physicist, energy guru"
Amy Smith,1,"inventor, engineer"
Amy Tan,1,Novelist
Anab Jain,1,"Futurist, designer"
Anand Agarawala,1,Interaction designer; software developer
Anand Giridharadas,1,Writer
Anand Varma,1,Photographer
Anant Agarwal,1,Education innovator
Anas Aremeyaw Anas,1,Undercover journalist
Andrew Bastawrous,1,"Eye surgeon, inventor"
Andrew Bird,1,Musician
Andrew Connolly,1,Astronomer
Andrew McAfee,1,Management theorist
Andrew Pelling,1,Biohacker
Andrew Solomon,1,Writer
Andrew Stanton,1,Filmmaker
Andrew Youn,1,Anti-hunger activist
Andy Hobsbawm,1,Internet entrepreneur
Anika Paulson,1,"Student, musician"
Anil Seth,1,Cognitive neuroscientist
Anna Deavere Smith,1,"Actor, playwright, social critic"
Anne Lamott,1,"Novelist, essayist"
Anne Madden,1,"Microbiologist, inventor and strategist"
AnnMarie Thomas,1,Educator
Anthony Atala,1,Surgeon
Anthony D. Romero,1,"Attorney, public-interest activist"
Anthony Goldbloom,1,Machine learning expert
Antonio Damasio,1,Neuroscientist
Aomawa Shields,1,"Astronomer, astrobiologist, actor, writer"
Armando Azua-Bustos,1,Astrobiologist
Arthur Benjamin,1,Mathemagician
Arthur Benjamin,1,Mathemagician
Arthur Brooks,1,"Social scientist, author "
Arthur Ganson,1,Sculptor
Ashton Applewhite,1,"Author, activist"
Astro Teller,1,"Entrepreneur, inventor, author"
Atul Gawande,1,"Surgeon, journalist"
Avi Reichental,1,3D printer
Ayah Bdeir,1,Engineer and artist
Aziz Abu Sarah,1,Entrepreneur + educator
Aziza Chaouni,1,Architect + ecotourism specialist
Barry Schwartz,1,Psychologist
Barry Schwartz,1,Psychologist
Beardyman,1,Beatboxer and inventor
Ben Katchor,1,Cartoonist
Ben Saunders,1,Arctic explorer
Ben Saunders,1,Arctic explorer
Benedetta Berti,1,International policy analyst
Benjamin Zander,1,Conductor
Benoit Mandelbrot,1,Mathematician
Bernie Dunlap,1,College president
Bill and Melinda Gates,2,Philanthropist
Bill Clinton,1,Activist
Bill Ford,1,"Executive chair, Ford Motor Co."
Bill Gates,1,Philanthropist
Bill Gates,1,Philanthropist
Bill Gates,1,Philanthropist
Bill Gates,1,Philanthropist
Bill Gross,1,Idea guy
Bill Gross,1,Idea guy
Bill Joy,1,Technologist and futurist
Bill Stone,1,"Explorer, inventor and outer space dreamer"
Bill Strickland,1,Social innovator
Bill T. Jones,3,"Director/choreographer, dancer"
Billy Collins,1,Poet
Billy Graham,1,Preacher
BJ Miller,1,Palliative care physician
Bjorn Lomborg,1,Global prioritizer
BLACK,1,Yo-yo champion
Bonnie Bassler,1,Molecular biologist
Bono,1,"Musician, activist"
Bono,1,"Musician, activist"
Bran Ferren,1,Technology designer
Brenda Laurel,1,Designer and theorist
Brené Brown,1,Vulnerability researcher
Brian Cox,1,Physicist 
Brian Cox,1,Physicist 
Brian Greene,1,Physicist
Brian Greene,1,Physicist
Brian Little,1,Personality researcher
Bruce Aylward,1,Epidemiologist
Bruce Bueno de Mesquita,1,Political scientist
Bruno Bowden + Rufus Cappadocia,2,Engineer and origamist
Bryan Stevenson,1,Public-interest lawyer
Burt Rutan,1,Aircraft engineer
Béatrice Coron,1,Papercutter artist
C.K. Williams,1,Poet
Cameron Sinclair,1,"Co-founder, Architecture for Humanity"
Camille Seaman,1,Photographer
Camille Seaman,1,Photographer
Carl Schoonover,1,Neuroscience PhD student + writer
Carlo Ratti,1,Architect and engineer
Carmen Agra Deedy,1,Storyteller
Caroline Lavelle,1,Cellist; singer-songwriter
Carolyn Porco,1,Planetary scientist
Carolyn Porco,1,Planetary scientist
Carrie Nugent,1,Asteroid hunter
Carter Emmart,1,"Scientist, Artist "
Casey Gerald,1,American
Catherine Mohr,1,Roboticist
Catherine Mohr,1,Roboticist
Cathy O'Neil,1,"Mathematician, data scientist"
Cesar Kuriyama,1,Video maker
Charles Fleischer,1,"Comedian, voice artist"
Charles Moore,1,Oceanographer
Charmian Gooch,1,Anti-corruption activist
Cheryl Hayashi,1,Spider silk scientist
Chip Conley,1,"CEO, author"
Chip Kidd,1,Graphic designer
Chris Abani,1,"Novelist, poet"
Chris Anderson,1,Drone maker
Chris Anderson,1,TED Curator
Chris Bangle,1,Car designer
Chris Burkard,1,Surf photographer
Chris Hadfield,1,Astronaut
Chris Jordan,1,Artist
Chris Kluwe,1,Punter and author
Chris Milk,1,Immersive storyteller
Chris Milk,1,Immersive storyteller
Chris Urmson,1,Roboticist
Christiana Figueres,1,Climate advocate
Christina Warinner,1,Archaeological geneticist
"Christopher ""moot"" Poole""",1,"Founder, 4chan"
Christopher C. Deam,1,Designer
Christopher deCharms,1,Brain researcher
Christopher Ryan,1,Psychologist
Christopher Soghoian,1,Privacy researcher and activist
Clifford Stoll,1,"Astronomer, educator, skeptic"
Clint Smith,1,"Poet, educator"
Cosmin Mihaiu,1,Physical therapy entrepreneur
Courtney E. Martin,1,Journalist
Craig Venter,1,"Biologist, genetics pioneer"
Cédric Villani,1,Mathematician
Daan Roosegaarde,1,Artist
Dalia Mogahed,1,Muslim studies scholar
Dame Ellen MacArthur,1,Circular economy advocate
Damian Palin,1,Biological miner
Damon Davis,1,Artist and filmmaker
Damon Horowitz,1,"Philosopher, entrepreneur"
Dan Ariely,1,Behavioral economist
Dan Ariely,1,Behavioral economist
Dan Ariely,1,Behavioral economist
Dan Barber,1,Chef
Dan Dennett,1,"Philosopher, cognitive scientist"
Dan Dennett,1,"Philosopher, cognitive scientist"
Dan Dennett,1,"Philosopher, cognitive scientist"
Dan Dennett,1,"Philosopher, cognitive scientist"
Dan Gilbert,1,Psychologist; happiness expert
Dan Gilbert,1,Psychologist; happiness expert
Dan Gross,1,Gun-control activist
Dan Pallotta,1,"Author, speaker, reformer"
Dan Pallotta,1,"Author, speaker, reformer"
Daniel Goleman,1,Psychologist
Daniel Kahneman,1,Behavioral economics founder
Daniel Kish,1,Perceptual navigation specialist
Daniel Kraft,1,Physician scientist
Daniel Libeskind,1,Architect
Daniel Reisel,1,Neuroscientist
Daniel Tammet,1,"Linguist, educator"
Danny Hillis,1,Computer theorist
Danny Hillis,1,Computer theorist
Dave Eggers,1,"Author, publisher, education activist"
Dave Isay,1,Story collector
David Bolinsky,1,Medical animator
David Brooks,1,Op-ed columnist 
David Brooks,1,Op-ed columnist 
David Byrne,1,"Musician, artist, writer"
"David Byrne, Ethel + Thomas Dolby",3,Electronic music pioneer
David Cameron,1,Politician
David Carson,1,Type designer
David Chalmers,1,Philosopher
David Christian,1,Historian
David Eagleman,1,Neuroscientist
David Epstein,1,Sports science reporter
David Gallo,1,Oceanographer
David Gallo,1,Oceanographer
David Griffin,1,"Director of photography, National Geographic"
David Hanson,1,Robotics designer
David Hoffman,1,Filmmaker
David Hoffman,1,Filmmaker
David Holt,1,Folk musician
David Kelley,1,"Designer, educator"
David Kelley,1,"Designer, educator"
David Kwong,1,Cruciverbalist
David Lang,1,Maker
David Macaulay,1,Illustrator
David Merrill,1,MIT grad student
David Miliband,1,Refugee advocate
David Perry,1,Game designer
David Pogue,1,Technology columnist
David Pogue,1,Technology columnist
David Pogue,1,Technology columnist
David Rockwell,1,"Architect, experience designer"
David Rothkopf,1,Foreign policy strategist
David S. Rose,1,Angel Investor
David Sengeh,1,Biomechatronics engineer
David Whyte,1,"Poet, author"
Dawn Landes,1,Singer-songwriter
Dean Kamen,1,Inventor
Dean Kamen,1,Inventor
Dean Ornish,1,"Physician, author"
Dean Ornish,1,"Physician, author"
Dean Ornish,1,"Physician, author"
Deb Roy,1,Cognitive scientist
Deborah Gordon,1,Ecologist
Deborah Gordon,1,Ecologist
Deborah Scranton,1,Filmmaker
Del Harvey,1,Security maven
Denis Dutton,1,Philosopher
Denise Herzing,1,Dolphin researcher
Dennis Hong,1,Roboticist 
Derek Sivers,1,Entrepreneur
"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",4,Cognitive psychologist
Diane Benscoter,1,Deprogrammer
Don Levy,1,Film executive
Don Norman,1,Cognitive scientist and design critic
Donald Hoffman,1,Cognitive scientist
Donald Sadoway,1,Materials engineer
Dong Woo Jang,1,Bow designer
Doris Kearns Goodwin,1,Historian
Drew Curtis,1,Web entrepreneur
Duarte Geraldino,1,Journalist
E.O. Wilson,1,Biologist
Eames Demetrios,1,Artist
Ed Boyden,1,Neuroengineer
Ed Ulbrich,1,Visual storyteller
