comments,duration,event,languages,main_speaker,name,num_speaker,views2,tags,number,lengths,views

371,349,TED2011,47,Graham Hill,"Less stuff, more happiness",1,3729820,technology,35,4,22270883
465,1080,TED2007,38,Isabel Allende,Tales of passion,1,3741423,entertainment,24,3,21190883
919,992,TED2006,31,Julia Sweeney,Letting go of God,1,3769987,science,22,4,20685401
205,518,TED2013,29,Edith Widder,How we found the giant squid,1,3773245,business,18,6,17629275
717,1421,TED2012,32,Bryan Stevenson,We need to talk about an injustice,1,3791888,global issue,17,7,14745406
166,400,TED2015,42,Bill Gross,The single biggest reason why startups succeed,1,3811316,psychology,16,7,14689301
425,1206,TED2010,38,Daniel Kahneman,The riddle of experience vs. memory,1,3841631,brian,14,6,13926113
181,411,TED2010,34,Tom Wujec,"Build a tower, build a team",1,3917039,education,12,6,13327101
432,1414,TED2007,35,VS Ramachandran,3 clues to understanding your brain,1,3930186,design,10,6,13155478
480,1071,TED2011,42,Kathryn Schulz,On being wrong,1,3976339,performance,9,3,12005869
304,493,TED2007,32,Theo Jansen,"My creations, a new form of life",1,3982352,happiness,8,7,11443190
243,1135,TED2004,34,Mihaly Csikszentmihalyi,"Flow, the secret to happiness",1,4016531,humor,8,5,10841210
507,544,TED2011,41,Eli Pariser,"Beware online ""filter bubbles""",1,4039403,demo,7,4,10529854
421,2102,TED2014,31,Edward Snowden,Here's how we take back the Internet,1,4040280,music,7,7,10167161
671,857,TED2013,37,Eleanor Longden,The voices in my head,1,4058274,work,7,5,9753630
356,1064,TED2008,28,Paul Stamets,6 ways mushrooms can save the world,1,4060628,children,7,7,9551344
587,1188,TED2012,33,Sherry Turkle,"Connected, but alone?",1,4066376,storytelling,7,3,9315931
534,1146,TED2005,35,Brian Greene,Making sense of string theory,1,4119616,dance,6,5,9315483
585,1202,TED2010,38,William Li,Can we eat to starve cancer?,1,4149065,poetry,6,6,9260764
296,1929,TED2003,32,Evelyn Glennie,How to truly listen,1,4165572,live music,5,4,9006600
224,1422,TED2004,36,Martin Seligman,The new era of positive psychology,1,4190393,creativity,5,6,8958850
1586,1339,TED2013,33,Allan Savory,How to fight desertification and reverse climate change,1,4191678,mind,5,8,8838874
109,1868,TED2005,21,Lennart Green,Close-up card magic with a twist,1,4204848,,,6,8655723
328,1128,TED2009,39,Oliver Sacks,What hallucination reveals about our minds,1,4233352,,,6,8360707
376,1006,TED2012,34,Vijay Kumar,Robots that fly ... and cooperate,1,4234334,,,5,8218896
59,915,TED2016,29,Brian Little,"Who are you, really? The puzzle of personality",1,4235594,,,8,7988894
1451,1134,TED2013,27,Dan Pallotta,The way we think about charity is dead wrong,1,4259204,,,9,7638978
588,274,TED2009,48,Jay Walker,The world's English mania,1,4289903,,,4,7520736
948,1669,TED2010,38,Bill Gates,Innovating to zero!,1,4329332,,,3,7481004
435,558,TED2007,40,Gever Tulley,5 dangerous things you should let your kids do,1,4364865,,,9,7373875
6404,1750,TED2002,42,Richard Dawkins,Militant atheism,1,4374792,,,2,7271730
383,1183,TED2010,37,Temple Grandin,The world needs all kinds of minds,1,4375111,,,7,7266316
213,706,TED2012,34,David Kelley,How to build your creative confidence,1,4389731,,,6,7023562
242,527,TED2006,27,Jeff Han,The radical promise of the multi-touch interface,1,4531020,,,8,7015800
269,649,TED2013,31,Jack Andraka,A promising test for pancreatic cancer ... from a teenager,1,4538435,,,9,6803938
417,1264,TED2013,32,Elon Musk,"The mind behind Tesla, SpaceX, SolarCity ...",1,4564213,,,6,6636475
1309,1203,TED2010,34,Jane McGonigal,Gaming can make a better world,1,4573252,,,6,6484404
109,1098,TED2015,23,Roman Mars,Why city flags may be the worst-designed thing you've never noticed,1,4597270,,,12,6475731
548,1227,TED2011,43,Sal Khan,Let's use video to reinvent education,1,4609857,,,6,6406853
174,352,TED2015,36,Greg Gage,How to control someone else's arm with your brain,1,4614317,,,9,6263759
417,550,TED2014,40,Zak Ebrahim,I am the son of a terrorist. Here's how I chose peace.,1,4619628,,,12,6214152
105,1071,TED2017,26,Shah Rukh Khan,"Thoughts on humanity, fame and love",1,4642478,,,6,6141440
299,446,TED2011,51,Ron Gutman,The hidden power of smiling,1,4653286,,,5,5842377
240,1228,TED2012,34,Joshua Foer,Feats of memory anyone can do,1,4754217,,,6,5666038
795,492,TED2010,58,Adora Svitak,What adults can learn from kids,1,4782854,,,6,5570544
172,1102,TED2014,29,Chris Hadfield,What I learned from going blind in space,1,4790701,,,8,5483940
224,1227,TED2014,29,Andrew Solomon,How the worst moments in our lives make us who we are,1,4801456,,,12,5364639
323,344,TED2013,44,David Pogue,10 top time-saving tech tips,1,4843480,,,6,5316753
229,956,TED2008,33,Helen Fisher,The brain in love,1,4883112,,,4,5199008
269,1056,TED2001,27,John Wooden,The difference between winning and succeeding,1,4891781,,,6,4962607
